objectid,rec_bldg,park_name,address,city,zipcode,square_feet,year_built,adult_center,comfort_station,comp_room,dance_room,game_room,gymnasium,kiln,kiln_room,kitchen,multi_purpose,racquetball,stage,teen_center,tiny_tot_room,weight_room,neighborhood,cd,service_district,indoor_bball,indoor_vball,indoor_pickleball,notes,maint_entity,community,facility_name_id,globalid,x,y
1,Scripps Ranch Rec Center,Scripps Ranch Community Park,11454 Blue Cypress Dr,San Diego,92131,12080,2000,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,MIRAMAR RANCH NORTH,5,40,3,1,4,,CP1,MIRAMAR RANCH NORTH,10279,{F5B6A5AD-F661-4A13-A550-7686028B4A80},6307031.786731213331223,1918688.515953645110130
2,North Park Rec Center,North Park Community Park,4044 Idaho St,San Diego,92104,11230,1947,1,0,0,1,1,1,1,1,1,3,0,0,1,1,0,NORTH PARK,3,41,3,1,0,,CP2,NORTH PARK,488,{70FC966B-5EBC-4C69-8833-B21F71208AEB},6289814.973067805171013,1854145.623058065772057
3,Southcrest Rec Center,Southcrest Community Park,4149 Newton Av,San Diego,92113,10620,1964,0,0,0,0,1,1,1,0,1,2,0,0,1,0,1,SOUTHCREST,8,43,1,1,0,,CP2,SOUTHEASTERN SAN DIEGO,299,{DA01898D-C205-49DD-873D-CEEDD3E12FA5},6298743.084148555994034,1833465.978065729141235
4,Azalea Rec Center,Azalea Neighborhood Park,2596 Violet St,San Diego,92105,1790,1973,0,0,1,0,0,0,2,1,1,1,0,0,0,0,0,AZALEA/HOLLYWOOD PARK,9,41,0,0,0,,CP2,MID-CITY: CITY HEIGHTS,1072,{BBC7A341-2550-4F91-B3C3-079AC2480BDA},6297756.557906389236450,1847334.687204897403717
5,Colina Del Sol Rec Center,Colina Del Sol Community Park,5319 Orange Av,San Diego,92115,6560,1962,0,0,0,0,1,1,1,1,1,2,0,0,0,0,0,COLINA DEL SOL,9,41,1,1,0,,CP2,MID-CITY: CITY HEIGHTS,491,{9D0BB03E-3611-4CB6-A490-7460C35B2E58},6306443.167501643300056,1854706.433288142085075
6,Paradise Hills Rec Center,Paradise Hills Community Park,6610 Potomac St,San Diego,92139,10808,1973,0,0,0,0,0,1,0,0,1,2,0,0,0,1,0,PARADISE HILLS,4,43,3,1,0,,CP2,SKYLINE-PARADISE HILLS,1075,{B37FD1CF-FD15-4A0D-85F5-E8A7E72CBE5A},6315277.898847892880440,1830062.617746472358704
7,Penn Rec Center,Penn Athletic Field,2555 Dusk Dr,San Diego,92139,2880,1992,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,BAY TERRACES,4,43,0,0,0,,CP2,SKYLINE-PARADISE HILLS,9941,{DF9F33E1-202F-43AA-9D5B-B810B5AF5183},6316198.436376884579659,1827504.704227149486542
8,Serra Mesa Rec Center,Serra Mesa Community Park,9020 Village Glen Dr,San Diego,92123,10710,1964,0,0,0,0,0,1,1,1,1,3,0,0,0,0,0,SERRA MESA,7,45,1,1,0,,CP1,SERRA MESA,480,{3FE40A1B-0708-423C-9B09-E3FC034ECEF0},6290293.658462136983871,1873963.390509054064751
9,Rancho Bernardo Rec Center,Rancho Bernardo Community Park,18448 W Bernardo Dr,San Diego,92127,14750,1994,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,RANCHO BERNARDO,5,40,3,2,3,,CP1,RANCHO BERNARDO,10052,{8C3FD2D7-F34F-4B98-B463-67639DD54C30},6308606.900050804018974,1962056.370162650942802
10,Cabrillo Rec Center,Cabrillo Elementary School,3051 Canon St,San Diego,92106,1980,1980,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,ROSEVILLE / FLEET RIDGE,2,45,0,0,0,,CP1,PENINSULA,1268,{4BF51BDF-D170-4CDF-94D3-AAF5C853C659},6259450.100398719310760,1843819.156178221106529
11,Adams Rec Center,Adams Avenue Community Park,3491 Adams Av,San Diego,92116,2360,1987,0,0,0,1,1,0,1,1,1,3,0,0,0,0,0,NORMAL HEIGHTS,9,41,0,0,0,,CP2,MID-CITY: NORMAL HEIGHTS,1459,{DEF969CB-5936-4A5A-A49B-DFFD3DC7FFD6},6294966.965388476848602,1858563.125705972313881
12,Mountain View Rec Center,Mountain View Park,551 S 40th St,San Diego,92113,18100,2004,0,0,1,1,0,1,1,1,1,3,0,1,1,0,1,MOUNTAIN VIEW,4,43,3,1,0,,CP2,SOUTHEASTERN SAN DIEGO,1099,{521D7F61-83FB-4A39-91C7-4B08BC128EFD},6297752.199647381901741,1835561.880698055028915
13,Willie Henderson Rec Center,Willie Henderson Sports Complex,1035 S 45th St,San Diego,92113,2390,1977,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,MOUNTAIN VIEW,4,43,0,0,0,,CP2,SOUTHEASTERN SAN DIEGO,1265,{2AB5CE72-A8E6-4FED-A72F-6CD659932551},6300896.960090130567551,1833574.434541732072830
14,"Martin L. King, Jr. Memorial Rec Center","Martin Luther King, Jr. Memorial Community",6401 Skyline Dr,San Diego,92114,17000,1987,0,1,0,0,1,1,1,1,1,2,2,0,0,0,1,ENCANTO,4,43,1,1,0,,CP2,ENCANTO,1490,{EF467536-D74E-412D-B61C-2BB57270A973},6312264.917669132351875,1835798.352666065096855
15,Encanto Rec Center,Encanto Community Park,6508 Wunderlin Av,San Diego,92114,9890,1965,0,0,0,0,1,1,1,1,1,3,0,0,0,0,1,ENCANTO,4,43,1,1,0,,CP2,ENCANTO,294,{2092EB11-7296-4F35-8FE7-BA3ED9AD6365},6313211.615906968712807,1840797.468323975801468
16,Encanto Teen Center,Encanto Community Park,6508 Wunderlin Av,San Diego,92114,1220,2005,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,ENCANTO,4,43,0,0,0,,CP2,ENCANTO,294,{A1C351CA-EB2F-4946-AF9D-FA7BBB636D4E},6313500.200303554534912,1841111.365333974361420
17,Gil Johnson Mira Mesa Rec Center,Mira Mesa Community Park,8575 New Salem St,San Diego,92126,10810,1976,0,0,0,0,0,1,1,1,1,3,0,0,0,0,0,MIRA MESA,6,44,1,1,0,,CP1,MIRA MESA,1236,{E4FE572B-E0CD-4A58-A286-FE46D5D7130D},6288519.027825057506561,1913927.986104637384415
18,Lopez Ridge Rec Center,Lopez Ridge Park,7245 Calle Cristobal,San Diego,92126,2590,2002,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,MIRA MESA,6,44,0,0,0,,CP1,MIRA MESA,10320,{88CDDEEB-06CE-4C40-813A-E5AEED51C691},6279851.930329889059067,1916042.786336973309517
19,Hourglass Rec Center,Mira Mesa Communty College,10440 Black Mountain Rd,San Diego,92126,25000,2009,0,0,0,1,0,1,0,0,1,4,0,0,0,0,0,MIRA MESA,6,44,2,3,6,,CP1,MIRA MESA,0,{E2BF5821-FE82-4059-BDDA-D18F7FABFF58},6294676.180865049362183,1911425.043603971600533
20,Canyonside Rec Center,Canyonside Community Park,12350 Black Mountain Rd,San Diego,92126,15560,1993,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,RANCHO PENASQUITOS,5,40,3,2,0,,CP1,RANCHO PEÑASQUITOS,10008,{EF69B205-D231-463B-8A6A-B68E90C23FA5},6291598.122388631105423,1923763.234150648117065
21,Black Mtn Multi-Purpose Gym,Black Mountain Middle School,9353 Oviedo St,San Diego,92126,13680,1998,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,RANCHO PENASQUITOS,5,40,3,3,3,,CP1,RANCHO PEÑASQUITOS,10254,{1F7F4A57-5FA3-4127-A213-289A5DBD1F9E},6293303.239385217428207,1933669.774048805236816
22,Hilltop Rec Center,Hilltop Community Park,9711 Oviedo Wy,San Diego,92129,5330,1998,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,RANCHO PENASQUITOS,5,40,0,0,0,,CP1,RANCHO PEÑASQUITOS,10254,{411AC1DA-752F-429E-86E2-4C3BADFBA41F},6295232.347075551748276,1934363.117806479334831
23,Pacific Beach Rec Center,Pacific Beach Community Park,1405 Diamond St,San Diego,92109,15040,1948,0,0,0,0,0,1,0,0,1,3,0,0,0,0,1,PACIFIC BEACH,1,44,1,1,3,,CP1,PACIFIC BEACH,497,{FF826048-B045-4E79-9007-998267417698},6255941.236353471875191,1872883.384795054793358
24,Carmel Valley Rec Center,Carmel Valley TownCenter Community Park,3770 Townsgate Dr,San Diego,92130,17250,1999,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,CARMEL VALLEY,1,40,3,2,6,,CP1,CARMEL VALLEY,10304,{FBEC23D3-C135-4FFF-9984-62FC1849382D},6259792.534097060561180,1926346.005559891462326
25,Ocean Air Rec Center,Ocean Air Community Park,4770 Fairport Way,San Diego,92130,16500,2009,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,CARMEL VALLEY,1,40,3,2,6,,CP1,CARMEL VALLEY,10525,{C53F73AC-E26E-4B27-9AEE-98ADB357EF06},6264933.571387141942978,1918819.891675144433975
26,Allied Gardens Rec Center,Allied Gardens Community Park,5155 Greenbrier Av,San Diego,92120,9190,1962,0,0,0,0,1,1,1,1,1,3,0,0,0,0,0,ALLIED GARDENS,7,45,1,1,3,,CP1,NAVAJO,557,{F628C142-23D3-45FC-965E-0357F42DA260},6306410.815204143524170,1870392.025604560971260
27,San Carlos Rec Center,San Carlos Community Park,6445 Lake Badin Av,San Diego,92119,11880,1970,0,0,0,1,1,1,1,1,1,3,0,0,0,0,0,LAKE MURRAY,7,45,1,1,0,,CP1,NAVAJO,756,{096F9524-1D82-4A7D-B4DD-D57F327C067E},6324524.867558643221855,1871098.436921387910843
28,Doyle Rec Center,Doyle Community Park,8175 Regents Rd,San Diego,92122,17590,1992,0,0,0,1,0,1,0,0,1,5,0,0,0,0,1,UNIVERSITY CITY,6,44,3,2,0,,CP1,UNIVERSITY,9998,{57732B0C-CDF5-454E-AF5B-9FDCE5FB5323},6263482.091350466012955,1895758.961747229099274
29,Standley Rec Center,Standley Community Park,3585 Governor Dr,San Diego,92122,18870,1976,0,0,0,0,1,1,0,0,1,2,0,0,0,0,0,UNIVERSITY CITY,6,44,3,2,2,,CP1,UNIVERSITY,1213,{DF51B421-E75E-4BA4-ADB8-97D9D2D33D26},6266803.231689810752869,1890806.811546564102173
30,Nobel Rec Center,Nobel Athletic Area,8810 Judicial Dr,San Diego,92122,10200,2007,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,UNIVERSITY CITY,6,44,1,1,3,,CP1,UNIVERSITY,10448,{7F4E827B-274D-42A4-A8A3-416F963DDCD2},6270183.879784137010574,1896551.693757563829422
31,"Robert Egger, Sr. - South Bay Rec Center","Robert Egger, Sr. - South Bay Community Park",1885 Coronado Av,San Diego,92154,14750,1974,0,0,0,0,0,1,0,0,1,2,0,0,1,0,0,EGGER HIGHLANDS,8,42,1,1,0,,CP2,OTAY MESA-NESTOR,1067,{CC15FA29-DF39-47B2-BB6F-32CAF65C4C5B},6301661.916565462946892,1790069.420830145478249
32,Cesar Chavez Comm Center,San Ysidro Athletic Area,455 Sycamore Rd,San Diego,92173,13000,1993,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,SAN YSIDRO,8,42,3,1,0,,CP2,SAN YSIDRO,10019,{C908B617-89D2-48FF-AA5F-2E4E67ABC4CD},6316533.781834796071053,1779655.395726472139359
33,Colonel Salomon Rec Center,San Ysidro Comm Activity Center,179 Diza Rd,San Diego,92173,13980,1962,0,0,0,0,0,1,0,0,1,3,0,0,1,0,1,SAN YSIDRO,8,42,3,1,0,,CP2,SAN YSIDRO,9807,{2FA3472D-9206-4E62-84E0-484451E9C8B0},6316545.519672214984894,1786319.640928149223328
34,Presidio Rec Center,Presidio Community Park,2811 Jackson St,San Diego,92110,5300,1946,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,OLD TOWN,2,41,3,1,1,,CP2,OLD TOWN SAN DIEGO,484,{EFB1F8C3-D7A8-4AC6-98B2-9B4D6ABBE983},6270895.779935136437416,1856810.149881228804588
35,Tecolote Rec Center,Tecolote Community Park,4675 Tecolote Rd,San Diego,92110,1700,1971,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,MORENA,7,44,0,0,0,,CP1,LINDA VISTA,482,{BDEC20A2-9EFF-4078-A456-E13AAC3DDBF8},6269595.792377635836601,1863044.918907731771469
36,City Heights Rec Center,City Heights Community Park,4380 Landis St,San Diego,92105,27360,1996,0,0,1,0,0,0,2,1,1,1,0,0,1,1,0,FAIRMONT VILLAGE,9,41,0,0,0,,CP2,MID-CITY: CITY HEIGHTS,1251,{2BC1A304-3EE3-4BDC-B8C5-7C6A02952DD5},6300306.784433215856552,1852277.003107637166977
37,Carmel Mtn Ranch / Sabre Springs Rec Center,Carmel Mtn Ranch / Sabre Springs Comm Park,10152 Rancho Carmel Dr,San Diego,92128,10600,1997,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,CARMEL MOUNTAIN,5,40,2,2,3,,CP1,CARMEL MOUNTAIN RANCH,10305,{1B2F2DD5-F31F-4654-B397-A4C22257A3E7},6303672.405982807278633,1932603.726640224456787
38,Ocean Beach Rec Center,Ocean Beach Community Park,4726 Santa Monica Av,San Diego,92107,10090,1946,0,0,0,0,0,1,1,1,1,2,0,1,0,0,0,OCEAN BEACH,2,45,1,1,3,,CP1,OCEAN BEACH,483,{3983D6EB-B8E3-40C0-8466-EC2157879F37},6255510.628946974873543,1852171.721822142601013
39,Robb Field Rec Center,Mission Bay,2525 Bacon St,San Diego,92107,3210,1977,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,OCEAN BEACH,2,45,0,0,0,,CP1,MISSION BAY PARK,1027,{22D1E485-D8A2-45AF-AD1C-64761A0F7AB5},6256859.490422472357750,1855682.464472562074661
40,La Jolla Rec Center,La Jolla Community Park,615 Prospect St,San Diego,92037,9160,1915,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,LA JOLLA,1,44,0,0,0,,CP1,LA JOLLA,481,{7C4ED824-D46E-43C1-BCC0-537C842F8316},6245994.070224225521088,1888185.945069149136543
41,Cadman Rec Center,Cadman Community Park,4280 Avati Rd,San Diego,92117,2570,1971,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,BAY HO,2,44,0,0,0,,CP1,CLAIREMONT MESA,495,{876EC1FC-AE4C-4BE4-ADDD-B415E90A44B4},6265264.598940297961235,1879603.725356981158257
42,Linda Vista Rec Center,Linda Vista Community Park,7064 Levant St,San Diego,92111,13710,1955,0,0,0,0,0,1,0,0,1,3,0,0,0,0,1,LINDA VISTA,7,45,3,0,0,,CP1,LINDA VISTA,000775,{F5FA5156-5F91-4049-A872-9A566A20DF6F},6279028.255139976739883,1869371.473183721303940
43,Kearny Mesa Rec Center,Kearny Mesa Community Park,3170 Armstrong St,San Diego,92111,11140,1973,0,0,0,0,1,1,0,0,1,2,0,0,0,0,0,LINDA VISTA,7,45,3,1,0,,CP1,LINDA VISTA,1074,{2C4DB0FF-F7A5-4966-A3DA-2F7886DB2DD8},6280717.400711804628372,1873018.893382310867310
44,Mid-City Gymnasium,Mid-City Police Sub Station,4302 Landis St,San Diego,92105,8600,1996,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,CASTLE,9,41,3,2,0,,CP2,MID-CITY: CITY HEIGHTS,10088,{F0E00486-5001-437E-8070-6231C8C1A698},6299804.499020472168922,1852541.650872305035591
45,Tierrasanta Rec Center,Tierrasanta Community Park,11220 Clairemont Mesa Bl,San Diego,92124,17640,1990,0,0,0,1,0,1,0,0,1,5,0,0,0,0,0,TIERRASANTA,7,45,2,2,0,,CP1,TIERRASANTA,9951,{5CE5499A-A203-479B-8234-73723F662343},6304428.479273796081543,1882864.009190723299980
46,Santa Clara Point Rec Center,Mission Bay,1008 Santa Clara Pl,San Diego,92109,8790,1948,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,MISSION BEACH,2,44,0,0,0,,CP1,MISSION BAY PARK,511,{A0AC5AC8-EDF2-4AE2-A8EE-43969ADB6BE4},6254614.068732216954231,1866315.600030392408371
47,Municipal Gymnasium,Balboa Park,2111 Pan American Rd,San Diego,92101,24100,1935,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,BALBOA PARK,3,0,3,0,9,,DRP,BALBOA PARK,637,{67BCF89D-6F75-4D54-895B-7BEA07C5BC7C},6283961.621257469058037,1845483.247010141611099
48,Golden Hills Rec Center,Balboa Park,2600 Golf Course Dr,San Diego,92102,10040,1948,1,0,0,1,1,1,1,1,1,3,0,0,1,0,0,BALBOA PARK,3,41,1,1,0,,CP2,BALBOA PARK,512,{A08832EB-9405-4739-873D-1617FD2F85E9},6288752.639234468340874,1843272.174988731741905
49,Balboa Park Activity Center,Balboa Park,2145 Park Bl,San Diego,92101,37970,1999,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,BALBOA PARK,3,0,0,6,5,,DRP,BALBOA PARK,10263,{A8493598-6645-49D1-8075-FDCAD0C2B143},6285572.931683138012886,1845389.095295563340187
50,So. Clairemont Rec Center,South Clairmont Community Park,3605 Clairemont Dr,San Diego,92117,6560,1955,0,0,0,1,0,0,0,0,1,2,0,1,0,0,0,BAY PARK,2,44,0,0,0,,CP1,CLAIREMONT MESA,771,{F34BD9F6-03C4-4310-827C-9DE0F2BFF2D5},6269604.112570971250534,1874506.697493314743042
51,North Clairemont Rec Center,North Clairemont Community Park,4421 Bannock Av,San Diego,92117,9810,1961,0,0,0,0,1,1,1,1,1,3,0,0,0,0,0,NORTH CLAIREMONT,2,44,1,1,2,,CP1,CLAIREMONT MESA,555,{E9D3128F-C261-4208-A339-45F48A89C7FE},6270645.455960720777512,1883966.436775892972946
52,Skyline Rec Center,Skyline Community Park,8285 Skyline Dr,San Diego,92114,10810,1970,0,0,0,0,0,1,0,0,1,2,0,0,1,0,1,JAMACHA LOMITA,4,43,3,1,0,,CP2,SKYLINE-PARADISE HILLS,758,{0F707D4E-4D4F-4077-9121-A19F37744D46},6322900.900006055831909,1837426.422900721430779
53,Montgomery-Waller Rec Center,Montgomery-Waller Community Park,3020 Coronado Av,San Diego,92154,10850,1991,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,OTAY MESA WEST,8,42,1,1,0,,CP2,OTAY MESA-NESTOR,9937,{46B90B04-9450-4B06-B174-3CEECBDBCA8F},6309483.858598724007607,1791400.682275220751762
54,Silver Wing Rec Center,Silver Wing Park,3737 Arey Dr,San Diego,92123,2030,1976,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,OTAY MESA WEST,8,42,0,0,0,,CP2,OTAY MESA-NESTOR,1233,{C807CBBE-C3D9-43BC-ACBA-BE815C2B8BBA},6314149.592049390077591,1790950.752072721719742
55,Dolores Magdaleno Memorial Rec Center,Memorial Community Park,2902 Marcy Av,San Diego,92113,14140,1994,0,0,0,0,1,1,1,1,1,3,0,0,1,0,1,LOGAN HEIGHTS,8,42,3,0,0,,CP2,SOUTHEASTERN SAN DIEGO,496,{F794478E-B386-4405-9015-6CD2133FBE64},6290771.120105639100075,1834816.397937059402466
56,Stockton Rec Center,"Martin Luther King, Jr. Elementary School",330 32nd St,San Diego,92102,17000,1978,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,STOCKTON,9,42,0,0,0,,CP2,SOUTHEASTERN SAN DIEGO,1264,{3B71B96B-EE48-49C5-AB6D-78E3A758B4A7},6292355.920741796493530,1838947.329963892698288
57,Pacific Highlands Ranch Rec Center,Pacific Highlands Ranch Community Park,5977 Village Loop Rd,San Diego,92130,17393,2019,0,2,0,1,1,1,0,0,1,2,0,0,0,0,0,PACIFIC HIGHLANDS RANCH,1,40,2,2,6,,CP1,PACIFIC HIGHLANDS RANCH,10961,{CDE0C985-E12A-41EA-AD69-D35626299E90},6274203.381915718317032,1930361.211112141609192
58,Park de la Cruz Gymnasium & Community Center,Park de la Cruz Neighbohood Park,3901 Landis Steet St,San Diego,92105,,2019,0,1,1,1,0,1,0,0,1,4,0,0,0,0,1,CITY HEIGHTS,9,41,3,3,2,,CP2,MID-CITY: CITY HEIGHTS,10751,{782DF8A3-1BE2-4B4E-8131-85A56025FC59},6297135.754029884934425,1852197.742111310362816
59,Bay TerracesCommunity & Senior Center,Bay Terraces CP,7445 Tooma St,San Diego,92139,5220,2020,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,BAY TERRACES,4,43,0,0,0,,CP2,SKYLINE-PARADISE HILLS,10997,{5A70CBE5-B243-4732-A14A-AC5D6AD024FD},6319939.754681631922722,1828395.917667806148529
60,San Ysidro Teen Center,San Ysidro CP,101 W. San Ysidro Blvd.,San Diego,92173,4048,1924,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,SAN YSIDRO,8,42,0,0,0,,CP2,SAN YSIDRO,473,{6B8E95D4-F761-400C-BD74-41D5BBF3CCBF},6316903.735163137316704,1781802.415382564067841
61,Cathy Hopper Friendship Senior Center,North Clairemont CP,4425 Bannock Avenue,San Diego,92117,,,,,,,,,,,,,,,,,,NORTH CLAIREMONT,2,44,0,0,0,Standalone Senior Center,CP1,CLAIREMONT MESA,,{B0CAE8C7-6506-4C2D-AC97-12BBDB9A564B},6270869.743569880723953,1884041.933672145009041
