OID_,shape_id,route_id,route_short_name,route_long_name,route_type,agency_id,route_desc,route_url,route_color,route_text_color,route_type_text,RouteShapeName,route_color_RGB,route_text_color_RGB,Shape_Length
251,44_1_80,44,44,Old Town - Kearny Mesa,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=44,000099,FFFFFF,Bus,44_1_80_44,"(0, 0, 153)","(255, 255, 255)",39384.059819845693710
252,4_2_63,4,4,12th & Imperial Trolley - Lomita Village,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=4,000099,FFFFFF,Bus,4_2_63_4,"(0, 0, 153)","(255, 255, 255)",24733.710152714091237
253,4_2_65,4,4,12th & Imperial Trolley - Lomita Village,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=4,000099,FFFFFF,Bus,4_2_65_4,"(0, 0, 153)","(255, 255, 255)",58044.584659248415846
254,4_3_62,4,4,12th & Imperial Trolley - Lomita Village,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=4,000099,FFFFFF,Bus,4_3_62_4,"(0, 0, 153)","(255, 255, 255)",23868.259538621518004
255,4_3_64,4,4,12th & Imperial Trolley - Lomita Village,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=4,000099,FFFFFF,Bus,4_3_64_4,"(0, 0, 153)","(255, 255, 255)",58758.495817948300100
256,4_3_66,4,4,12th & Imperial Trolley - Lomita Village,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=4,000099,FFFFFF,Bus,4_3_66_4,"(0, 0, 153)","(255, 255, 255)",57420.532029973968747
257,510_0_323,510,Blue,San Ysidro - UTC,0,MTS,,https://www.sdmts.com/schedules-real-time?fragment=blue_line,0000FF,FFFFFF,"Tram, Streetcar, Light rail",510_0_323_510,"(0, 0, 153)","(255, 255, 255)",83192.497669826756464
258,510_0_324,510,Blue,San Ysidro - UTC,0,MTS,,https://www.sdmts.com/schedules-real-time?fragment=blue_line,0000FF,FFFFFF,"Tram, Streetcar, Light rail",510_0_324_510,"(0, 0, 153)","(255, 255, 255)",83128.751969229779206
259,510_0_352,510,Blue,San Ysidro - UTC,0,MTS,,https://www.sdmts.com/schedules-real-time?fragment=blue_line,0000FF,FFFFFF,"Tram, Streetcar, Light rail",510_0_352_510,"(0, 0, 153)","(255, 255, 255)",160069.953780700161587
260,510_0_354,510,Blue,San Ysidro - UTC,0,MTS,,https://www.sdmts.com/schedules-real-time?fragment=blue_line,0000FF,FFFFFF,"Tram, Streetcar, Light rail",510_0_354_510,"(0, 0, 153)","(255, 255, 255)",85411.747691769312951
261,510_0_357,510,Blue,San Ysidro - UTC,0,MTS,,https://www.sdmts.com/schedules-real-time?fragment=blue_line,0000FF,FFFFFF,"Tram, Streetcar, Light rail",510_0_357_510,"(0, 0, 153)","(255, 255, 255)",75992.102024807798443
262,510_1_326,510,Blue,San Ysidro - UTC,0,MTS,,https://www.sdmts.com/schedules-real-time?fragment=blue_line,0000FF,FFFFFF,"Tram, Streetcar, Light rail",510_1_326_510,"(0, 0, 153)","(255, 255, 255)",83128.881537690103869
263,510_1_329,510,Blue,San Ysidro - UTC,0,MTS,,https://www.sdmts.com/schedules-real-time?fragment=blue_line,0000FF,FFFFFF,"Tram, Streetcar, Light rail",510_1_329_510,"(0, 0, 153)","(255, 255, 255)",70898.693557246690034
264,510_1_330,510,Blue,San Ysidro - UTC,0,MTS,,https://www.sdmts.com/schedules-real-time?fragment=blue_line,0000FF,FFFFFF,"Tram, Streetcar, Light rail",510_1_330_510,"(0, 0, 153)","(255, 255, 255)",120854.067823330478859
265,510_1_348,510,Blue,San Ysidro - UTC,0,MTS,,https://www.sdmts.com/schedules-real-time?fragment=blue_line,0000FF,FFFFFF,"Tram, Streetcar, Light rail",510_1_348_510,"(0, 0, 153)","(255, 255, 255)",160070.153784046240617
266,510_1_350,510,Blue,San Ysidro - UTC,0,MTS,,https://www.sdmts.com/schedules-real-time?fragment=blue_line,0000FF,FFFFFF,"Tram, Streetcar, Light rail",510_1_350_510,"(0, 0, 153)","(255, 255, 255)",85463.266539025877137
267,510_1_367,510,Blue,San Ysidro - UTC,0,MTS,,https://www.sdmts.com/schedules-real-time?fragment=blue_line,0000FF,FFFFFF,"Tram, Streetcar, Light rail",510_1_367_510,"(0, 0, 153)","(255, 255, 255)",69387.390953754904331
268,520_2_280,520,Orange,El Cajon - Courthouse,0,MTS,,https://www.sdmts.com/schedules-real-time?fragment=orange_line,FF6600,FFFFFF,"Tram, Streetcar, Light rail",520_2_280_520,"(0, 0, 153)","(255, 255, 255)",88453.063693161559058
269,520_2_284,520,Orange,El Cajon - Courthouse,0,MTS,,https://www.sdmts.com/schedules-real-time?fragment=orange_line,FF6600,FFFFFF,"Tram, Streetcar, Light rail",520_2_284_520,"(0, 0, 153)","(255, 255, 255)",76133.706502690227353
270,520_2_285,520,Orange,El Cajon - Courthouse,0,MTS,,https://www.sdmts.com/schedules-real-time?fragment=orange_line,FF6600,FFFFFF,"Tram, Streetcar, Light rail",520_2_285_520,"(0, 0, 153)","(255, 255, 255)",87354.805696016104775
271,520_3_281,520,Orange,El Cajon - Courthouse,0,MTS,,https://www.sdmts.com/schedules-real-time?fragment=orange_line,FF6600,FFFFFF,"Tram, Streetcar, Light rail",520_3_281_520,"(0, 0, 153)","(255, 255, 255)",89371.765232603691402
272,520_3_283,520,Orange,El Cajon - Courthouse,0,MTS,,https://www.sdmts.com/schedules-real-time?fragment=orange_line,FF6600,FFFFFF,"Tram, Streetcar, Light rail",520_3_283_520,"(0, 0, 153)","(255, 255, 255)",88453.057770652725594
273,530_2_354,530,Green,El Cajon - 12th & Imperial,0,MTS,,https://www.sdmts.com/schedules-real-time?fragment=green_line,009900,FFFFFF,"Tram, Streetcar, Light rail",530_2_354_530,"(0, 0, 153)","(255, 255, 255)",107497.041380505208508
274,530_2_356,530,Green,El Cajon - 12th & Imperial,0,MTS,,https://www.sdmts.com/schedules-real-time?fragment=green_line,009900,FFFFFF,"Tram, Streetcar, Light rail",530_2_356_530,"(0, 0, 153)","(255, 255, 255)",105472.865801485138945
275,530_3_333,530,Green,El Cajon - 12th & Imperial,0,MTS,,https://www.sdmts.com/schedules-real-time?fragment=green_line,009900,FFFFFF,"Tram, Streetcar, Light rail",530_3_333_530,"(0, 0, 153)","(255, 255, 255)",54490.587989866624412
276,530_3_355,530,Green,El Cajon - 12th & Imperial,0,MTS,,https://www.sdmts.com/schedules-real-time?fragment=green_line,009900,FFFFFF,"Tram, Streetcar, Light rail",530_3_355_530,"(0, 0, 153)","(255, 255, 255)",107478.012422711064573
277,5_2_91,5,5,Downtown San Diego - Euclid Transit Center,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=5,000099,FFFFFF,Bus,5_2_91_5,"(0, 0, 153)","(255, 255, 255)",24100.097647021972080
278,5_3_90,5,5,Downtown San Diego - Euclid Transit Center,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=5,000099,FFFFFF,Bus,5_3_90_5,"(0, 0, 153)","(255, 255, 255)",24741.910898842339520
279,60_0_24,60,60,Euclid Av Transit Center - UTC  via Convoy,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=60,000099,FFFFFF,Bus,60_0_24_60,"(0, 0, 153)","(255, 255, 255)",94496.063601693414967
280,60_1_23,60,60,Euclid Av Transit Center - UTC  via Convoy,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=60,000099,FFFFFF,Bus,60_1_23_60,"(0, 0, 153)","(255, 255, 255)",94885.951231699204072
281,6_2_79,6,6,North Park - Fashion Valley,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=6,000099,FFFFFF,Bus,6_2_79_6,"(0, 0, 153)","(255, 255, 255)",23522.272790151018853
282,6_3_78,6,6,North Park - Fashion Valley,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=6,000099,FFFFFF,Bus,6_3_78_6,"(0, 0, 153)","(255, 255, 255)",21657.333294921452762
283,6_3_80,6,6,North Park - Fashion Valley,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=6,000099,FFFFFF,Bus,6_3_80_6,"(0, 0, 153)","(255, 255, 255)",21034.686344751335128
284,701_0_24,701,701,H St Transit Center - Palomar St TC via Hilltop Dr,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=701,000099,FFFFFF,Bus,701_0_24_701,"(0, 0, 153)","(255, 255, 255)",45088.071158626822580
285,701_1_25,701,701,H St Transit Center - Palomar St TC via Hilltop Dr,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=701,000099,FFFFFF,Bus,701_1_25_701,"(0, 0, 153)","(255, 255, 255)",45050.276224589419144
286,704_0_74,704,704,E St Transit Center - Palomar Transit Center,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=704,000099,FFFFFF,Bus,704_0_74_704,"(0, 0, 153)","(255, 255, 255)",70553.870410038784030
287,704_0_75,704,704,E St Transit Center - Palomar Transit Center,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=704,000099,FFFFFF,Bus,704_0_75_704,"(0, 0, 153)","(255, 255, 255)",33546.457372596662026
288,704_0_77,704,704,E St Transit Center - Palomar Transit Center,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=704,000099,FFFFFF,Bus,704_0_77_704,"(0, 0, 153)","(255, 255, 255)",37007.413037442151108
289,704_0_79,704,704,E St Transit Center - Palomar Transit Center,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=704,000099,FFFFFF,Bus,704_0_79_704,"(0, 0, 153)","(255, 255, 255)",32868.673757240532723
290,704_1_71,704,704,E St Transit Center - Palomar Transit Center,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=704,000099,FFFFFF,Bus,704_1_71_704,"(0, 0, 153)","(255, 255, 255)",19577.398788926315319
291,704_1_76,704,704,E St Transit Center - Palomar Transit Center,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=704,000099,FFFFFF,Bus,704_1_76_704,"(0, 0, 153)","(255, 255, 255)",34079.862557075597579
292,704_1_78,704,704,E St Transit Center - Palomar Transit Center,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=704,000099,FFFFFF,Bus,704_1_78_704,"(0, 0, 153)","(255, 255, 255)",71058.065089413474197
293,705_2_42,705,705,E St Transit Center - Plaza Bonita,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=705,000099,FFFFFF,Bus,705_2_42_705,"(0, 0, 153)","(255, 255, 255)",49106.167161214456428
294,705_2_43,705,705,E St Transit Center - Plaza Bonita,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=705,000099,FFFFFF,Bus,705_2_43_705,"(0, 0, 153)","(255, 255, 255)",18969.987593293149985
295,705_3_44,705,705,E St Transit Center - Plaza Bonita,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=705,000099,FFFFFF,Bus,705_3_44_705,"(0, 0, 153)","(255, 255, 255)",19782.715316059875477
296,705_3_45,705,705,E St Transit Center - Plaza Bonita,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=705,000099,FFFFFF,Bus,705_3_45_705,"(0, 0, 153)","(255, 255, 255)",48893.782210832243436
297,707_0_15,707,707,Otay Ranch Town Center - Southwestern College,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=707,000099,FFFFFF,Bus,707_0_15_707,"(0, 0, 153)","(255, 255, 255)",35485.342080771966721
298,707_1_16,707,707,Otay Ranch Town Center - Southwestern College,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=707,000099,FFFFFF,Bus,707_1_16_707,"(0, 0, 153)","(255, 255, 255)",32082.529069110751152
299,709_2_117,709,709,H St Transit Center - Otay Ranch Town Center,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=709,000099,FFFFFF,Bus,709_2_117_709,"(0, 0, 153)","(255, 255, 255)",33332.253581117234717
300,709_2_121,709,709,H St Transit Center - Otay Ranch Town Center,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=709,000099,FFFFFF,Bus,709_2_121_709,"(0, 0, 153)","(255, 255, 255)",48660.856741676478123
301,709_3_118,709,709,H St Transit Center - Otay Ranch Town Center,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=709,000099,FFFFFF,Bus,709_3_118_709,"(0, 0, 153)","(255, 255, 255)",34429.720498535294610
302,709_3_122,709,709,H St Transit Center - Otay Ranch Town Center,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=709,000099,FFFFFF,Bus,709_3_122_709,"(0, 0, 153)","(255, 255, 255)",47776.249895736131293
303,712_2_83,712,712,Palomar Transit Center - Southwestern College,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=712,000099,FFFFFF,Bus,712_2_83_712,"(0, 0, 153)","(255, 255, 255)",39485.922185285577143
304,712_3_84,712,712,Palomar Transit Center - Southwestern College,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=712,000099,FFFFFF,Bus,712_3_84_712,"(0, 0, 153)","(255, 255, 255)",39428.710885918437270
305,712_3_85,712,712,Palomar Transit Center - Southwestern College,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=712,000099,FFFFFF,Bus,712_3_85_712,"(0, 0, 153)","(255, 255, 255)",29386.028410600905772
306,7_0_286,7,7,Downtown San Diego - University/College,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=7,000099,FFFFFF,Bus,7_0_286_7,"(0, 0, 153)","(255, 255, 255)",44233.738918773204205
307,7_0_287,7,7,Downtown San Diego - University/College,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=7,000099,FFFFFF,Bus,7_0_287_7,"(0, 0, 153)","(255, 255, 255)",38740.690508762236277
308,7_0_288,7,7,Downtown San Diego - University/College,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=7,000099,FFFFFF,Bus,7_0_288_7,"(0, 0, 153)","(255, 255, 255)",33914.886235823527386
309,7_1_283,7,7,Downtown San Diego - University/College,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=7,000099,FFFFFF,Bus,7_1_283_7,"(0, 0, 153)","(255, 255, 255)",44243.639562940785254
310,7_1_284,7,7,Downtown San Diego - University/College,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=7,000099,FFFFFF,Bus,7_1_284_7,"(0, 0, 153)","(255, 255, 255)",29242.618095901703782
311,815_2_22,815,815,El Cajon Transit Center - East Main St,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=815,000099,FFFFFF,Bus,815_2_22_815,"(0, 0, 153)","(255, 255, 255)",16948.413468234324682
312,815_3_23,815,815,El Cajon Transit Center - East Main St,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=815,000099,FFFFFF,Bus,815_3_23_815,"(0, 0, 153)","(255, 255, 255)",19538.202879541164293
313,816_2_23,816,816,El Cajon TC - Cuyamaca College,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=816,000099,FFFFFF,Bus,816_2_23_816,"(0, 0, 153)","(255, 255, 255)",37701.168491488620930
314,816_3_22,816,816,El Cajon TC - Cuyamaca College,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=816,000099,FFFFFF,Bus,816_3_22_816,"(0, 0, 153)","(255, 255, 255)",36927.189160471913056
315,832_8_10,832,832,Santee Center - NE Santee Loop Clockwise,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=832,000099,FFFFFF,Bus,832_8_10_832,"(0, 0, 153)","(255, 255, 255)",29215.920657544913411
316,833_0_55,833,833,Santee Center - Parkway Plaza,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=833,000099,FFFFFF,Bus,833_0_55_833,"(0, 0, 153)","(255, 255, 255)",39853.353407433176471
317,833_0_56,833,833,Santee Center - Parkway Plaza,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=833,000099,FFFFFF,Bus,833_0_56_833,"(0, 0, 153)","(255, 255, 255)",36456.615769935269782
318,833_1_48,833,833,Santee Center - Parkway Plaza,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=833,000099,FFFFFF,Bus,833_1_48_833,"(0, 0, 153)","(255, 255, 255)",39253.234377338914783
319,833_1_49,833,833,Santee Center - Parkway Plaza,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=833,000099,FFFFFF,Bus,833_1_49_833,"(0, 0, 153)","(255, 255, 255)",35856.496739841015369
320,834_8_21,834,834,West Santee Loop,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=834,000099,FFFFFF,Bus,834_8_21_834,"(0, 0, 153)","(255, 255, 255)",39661.039671505946899
321,838_2_7,838,838,East County Square - Viejas,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=838,000099,FFFFFF,Bus,838_2_7_838,"(0, 0, 153)","(255, 255, 255)",75962.431381094051176
322,838_2_8,838,838,East County Square - Viejas,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=838,000099,FFFFFF,Bus,838_2_8_838,"(0, 0, 153)","(255, 255, 255)",75441.639439869017224
323,838_3_10,838,838,East County Square - Viejas,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=838,000099,FFFFFF,Bus,838_3_10_838,"(0, 0, 153)","(255, 255, 255)",76618.165398739292868
324,83_0_29,83,83,Downtown San Diego - Old Town,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=83,000099,FFFFFF,Bus,83_0_29_83,"(0, 0, 153)","(255, 255, 255)",24432.409475081141863
325,83_1_26,83,83,Downtown San Diego - Old Town,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=83,000099,FFFFFF,Bus,83_1_26_83,"(0, 0, 153)","(255, 255, 255)",13897.758097870302663
326,83_1_28,83,83,Downtown San Diego - Old Town,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=83,000099,FFFFFF,Bus,83_1_28_83,"(0, 0, 153)","(255, 255, 255)",25677.465022776359547
327,848_0_50,848,848,El Cajon - Lakeside,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=848,000099,FFFFFF,Bus,848_0_50_848,"(0, 0, 153)","(255, 255, 255)",43242.618048923788592
328,848_0_51,848,848,El Cajon - Lakeside,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=848,000099,FFFFFF,Bus,848_0_51_848,"(0, 0, 153)","(255, 255, 255)",46639.355686421673454
329,848_1_45,848,848,El Cajon - Lakeside,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=848,000099,FFFFFF,Bus,848_1_45_848,"(0, 0, 153)","(255, 255, 255)",42392.388728630539845
330,848_1_48,848,848,El Cajon - Lakeside,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=848,000099,FFFFFF,Bus,848_1_48_848,"(0, 0, 153)","(255, 255, 255)",45789.125022033025743
331,84_0_62,84,84,Point Loma Shuttle,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=84,000099,FFFFFF,Bus,84_0_62_84,"(0, 0, 153)","(255, 255, 255)",19711.024346408816200
332,84_0_65,84,84,Point Loma Shuttle,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=84,000099,FFFFFF,Bus,84_0_65_84,"(0, 0, 153)","(255, 255, 255)",33078.046131054499710
333,84_1_58,84,84,Point Loma Shuttle,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=84,000099,FFFFFF,Bus,84_1_58_84,"(0, 0, 153)","(255, 255, 255)",33807.522406556199712
334,84_1_59,84,84,Point Loma Shuttle,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=84,000099,FFFFFF,Bus,84_1_59_84,"(0, 0, 153)","(255, 255, 255)",19499.616835462053132
335,84_1_63,84,84,Point Loma Shuttle,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=84,000099,FFFFFF,Bus,84_1_63_84,"(0, 0, 153)","(255, 255, 255)",6358.455791037607014
336,84_1_64,84,84,Point Loma Shuttle,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=84,000099,FFFFFF,Bus,84_1_64_84,"(0, 0, 153)","(255, 255, 255)",33160.235210527345771
337,851_0_19,851,851,Spring Valley - La Mesa,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=851,000099,FFFFFF,Bus,851_0_19_851,"(0, 0, 153)","(255, 255, 255)",27073.841202563624392
338,851_1_18,851,851,Spring Valley - La Mesa,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=851,000099,FFFFFF,Bus,851_1_18_851,"(0, 0, 153)","(255, 255, 255)",33559.246354913309915
339,852_2_17,852,852,University & 54th - Grossmont Transit Ctr,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=852,000099,FFFFFF,Bus,852_2_17_852,"(0, 0, 153)","(255, 255, 255)",34231.576801955467090
340,852_3_18,852,852,University & 54th - Grossmont Transit Ctr,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=852,000099,FFFFFF,Bus,852_3_18_852,"(0, 0, 153)","(255, 255, 255)",36359.922464920586208
341,854_0_49,854,854,Grossmont Transit Ctr -- Grossmont College,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=854,000099,FFFFFF,Bus,854_0_49_854,"(0, 0, 153)","(255, 255, 255)",15760.669656516154646
342,854_0_51,854,854,Grossmont Transit Ctr -- Grossmont College,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=854,000099,FFFFFF,Bus,854_0_51_854,"(0, 0, 153)","(255, 255, 255)",29397.513199519340560
343,854_1_50,854,854,Grossmont Transit Ctr -- Grossmont College,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=854,000099,FFFFFF,Bus,854_1_50_854,"(0, 0, 153)","(255, 255, 255)",17105.842470658702950
344,854_1_52,854,854,Grossmont Transit Ctr -- Grossmont College,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=854,000099,FFFFFF,Bus,854_1_52_854,"(0, 0, 153)","(255, 255, 255)",26513.895958845358109
345,855_0_26,855,855,Rancho San Diego - La Mesa,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=855,000099,FFFFFF,Bus,855_0_26_855,"(0, 0, 153)","(255, 255, 255)",26460.525833864365268
346,855_1_27,855,855,Rancho San Diego - La Mesa,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=855,000099,FFFFFF,Bus,855_1_27_855,"(0, 0, 153)","(255, 255, 255)",23678.617547982899850
347,856_0_126,856,856,SDSU - Cuyamaca College,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=856,000099,FFFFFF,Bus,856_0_126_856,"(0, 0, 153)","(255, 255, 255)",59006.348173666548973
348,856_0_131,856,856,SDSU - Cuyamaca College,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=856,000099,FFFFFF,Bus,856_0_131_856,"(0, 0, 153)","(255, 255, 255)",70138.647122809328721
349,856_0_132,856,856,SDSU - Cuyamaca College,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=856,000099,FFFFFF,Bus,856_0_132_856,"(0, 0, 153)","(255, 255, 255)",60097.278612847338081
350,856_1_128,856,856,SDSU - Cuyamaca College,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=856,000099,FFFFFF,Bus,856_1_128_856,"(0, 0, 153)","(255, 255, 255)",47367.039458047816879
351,856_1_129,856,856,SDSU - Cuyamaca College,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=856,000099,FFFFFF,Bus,856_1_129_856,"(0, 0, 153)","(255, 255, 255)",58175.560185605761944
352,856_1_133,856,856,SDSU - Cuyamaca College,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=856,000099,FFFFFF,Bus,856_1_133_856,"(0, 0, 153)","(255, 255, 255)",69954.738245002314216
353,856_1_134,856,856,SDSU - Cuyamaca College,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=856,000099,FFFFFF,Bus,856_1_134_856,"(0, 0, 153)","(255, 255, 255)",59146.217517444354598
354,864_2_177,864,864,El Cajon - East County Sq,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=864,000099,FFFFFF,Bus,864_2_177_864,"(0, 0, 153)","(255, 255, 255)",35867.121151580126025
355,864_3_176,864,864,El Cajon - East County Sq,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=864,000099,FFFFFF,Bus,864_3_176_864,"(0, 0, 153)","(255, 255, 255)",36491.224894420469354
356,864_3_178,864,864,El Cajon - East County Sq,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=864,000099,FFFFFF,Bus,864_3_178_864,"(0, 0, 153)","(255, 255, 255)",23362.970764520614466
357,872_9_22,872,872,El Cajon Shuttle Loop Counterclockwise,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=872,000099,FFFFFF,Bus,872_9_22_872,"(0, 0, 153)","(255, 255, 255)",18263.637592750812473
358,874_8_78,874,874,El Cajon Eastside Shuttle Clockwise,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=874,000099,FFFFFF,Bus,874_8_78_874,"(0, 0, 153)","(255, 255, 255)",18525.358804206294735
359,874_8_79,874,874,El Cajon Eastside Shuttle Clockwise,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=874,000099,FFFFFF,Bus,874_8_79_874,"(0, 0, 153)","(255, 255, 255)",25932.936952928110259
360,874_8_81,874,874,El Cajon Eastside Shuttle Clockwise,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=874,000099,FFFFFF,Bus,874_8_81_874,"(0, 0, 153)","(255, 255, 255)",51611.037299011535652
361,874_8_82,874,874,El Cajon Eastside Shuttle Clockwise,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=874,000099,FFFFFF,Bus,874_8_82_874,"(0, 0, 153)","(255, 255, 255)",37203.106001893596840
362,874_8_83,874,874,El Cajon Eastside Shuttle Clockwise,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=874,000099,FFFFFF,Bus,874_8_83_874,"(0, 0, 153)","(255, 255, 255)",25678.100346083443583
363,875_9_36,875,875,El Cajon Eastside Shuttle Counterclockwise,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=875,000099,FFFFFF,Bus,875_9_36_875,"(0, 0, 153)","(255, 255, 255)",21923.917226706405927
